radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.99063,36.2505,17.9763,4.62458,47.8417,15.6914,2.296,11.7383
0.806842,14.2302,0.121499,0.0718679,0.011764,9.51232,1.27666,10.6352
0.367281,16.7286,0.711534,0.528629,4.04059,4.06883,2.43628,20.3174
0.665951,5.10337,15.4892,5.79439,6.79266,15.8324,0.702699,6.82834
0.525224,7.10017,13.8286,7.21354,6.85952,12.186,8.05552,0.00347638
0.977203,9.277,26.1879,5.07227,44.1672,17.1637,2.94656,44.4948
0.668586,8.2841,18.5831,5.19191,32.5496,26.7943,4.10265,32.6754
0.922171,12.2365,-5.01579,4.7871,56.2125,7.11236,3.17141,56.0425
0.901383,19.8833,12.7257,4.69963,56.1731,-7.13971,3.8669,56.0439
0.430407,17.5338,2.72769,5.33802,45.6277,20.2604,5.18903,45.7423
0.840508,10.6853,3.91932,2.68748,18.905,5.76342,2.97777,29.426
0.809138,3.71869,9.73335,1.54417,7.17546,6.02142,1.32004,7.17854
0.601219,24.2436,16.8769,2.57082,24.5752,12.455,0.226839,0.853798
0.910448,18.1098,2.72651,5.31043,12.0354,6.15285,5.07884,29.8166
0.979954,7.29083,5.88932,4.42087,47.0428,5.29721,4.23502,54.3072
0.687602,8.75276,22.0703,7.69088,1.9456,21.5894,6.7506,10.6344
0.875083,5.37206,20.341,5.94528,6.78817,19.6912,0.612885,6.73983
0.983301,17.5722,5.68084,5.38253,31.6981,8.16228,6.07499,14.3159
0.994646,8.44395,1.68128,2.75348,33.2215,10.0805,3.61632,33.3115
0.611439,8.09865,25.6911,4.93581,57.0755,17.5969,4.66764,57.0585
0.925586,31.6262,16.5788,2.80856,23.6248,17.1873,3.36612,55.2402
0.611589,25.4342,7.48338,2.98692,28.6423,6.8686,3.3423,54.0667
0.808089,11.3658,9.39868,1.23157,11.092,11.3678,0.454969,-0.0749645
0.690589,7.22439,9.12078,6.73516,7.01992,1.919,7.18558,7.37108
