radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.234762,0.58188,15.6972,2.70368,6.6482,15.3659,2.22563,6.63208
0.465531,1.38487,14.251,1.40572,10.0225,14.3616,1.67256,11.3769
0.20086,0.794759,13.5213,2.88752,7.87275,13.4753,2.09623,7.93093
0.600523,1.6042,13.3813,3.85282,7.26478,13.2262,2.26353,7.41816
0.541173,1.4976,12.5899,4.13474,5.87786,12.5418,2.65229,5.6709
0.1753,0.809881,0.362522,3.2331,43.7997,1.1282,3.49378,43.7586
0.309938,1.21024,10.0969,2.98116,8.98295,10.2887,2.71246,7.8186
0.360152,1.12557,8.75449,1.13567,11.4937,8.137,1.29601,12.421
0.642812,1.5339,9.26117,3.82925,7.28646,8.42481,2.5435,7.30013
0.166431,0.911207,4.41539,1.58426,12.6882,3.82777,1.57787,11.9919
0.132966,1.00216,3.55588,4.40663,6.79479,3.46037,3.40932,6.81884
0.888532,1.42528,3.11829,2.43486,13.5203,2.73212,2.32346,12.1529
0.237832,0.933911,2.04205,2.27458,12.2437,1.85435,1.9377,11.3931
0.31353,1.51202,2.1328,3.24546,6.52258,1.34724,4.52728,6.68393
0.617256,1.72449,1.56757,2.82145,7.26174,1.60353,4.48289,6.8011
0.145581,0.629942,0.877887,3.98758,43.8157,1.45175,4.24739,43.8172
0.437863,1.69969,4.85135,3.07714,36.0839,4.44187,3.02609,34.4351
0.456802,1.61204,22.5153,1.76539,4.0698,22.3787,3.13944,4.90166
0.0832845,0.987535,22.4151,2.84059,6.83062,22.4688,1.85736,6.75577
0.544067,1.54537,21.0877,1.58291,10.786,21.3769,1.45485,9.27338
0.488975,0.779457,19.6087,2.62544,6.34156,20.3315,2.3339,6.33167
0.598626,1.09016,15.2781,2.6809,6.25327,14.6617,3.57845,6.30763
0.213366,0.886499,13.8763,1.93378,9.7258,13.7083,2.34803,8.96026
0.215125,0.906609,5.5672,2.86655,32.5941,4.72451,2.56535,32.7393
0.215125,3.24287,6.65297,3.25463,32.4069,3.63874,2.17727,32.9265
0.542536,1.36551,9.32893,1.84054,12.5728,10.0729,1.99898,11.4387
0.85619,1.56011,7.95731,0.793088,13.6705,8.3821,0.695242,12.1725
0.0473577,1.20782,7.98454,4.76179,6.73116,8.00425,3.55434,6.75375
0.316541,1.34214,5.72491,1.59613,12.8891,6.97128,1.67852,13.3801
0.221843,0.812255,4.99421,1.65749,13.3297,5.77361,1.62533,13.1033
0.902898,1.41169,4.03702,2.45867,13.1532,5.43512,2.43287,13.3469
0.818386,1.20155,3.68587,0.968367,14.3934,3.27493,0.843119,13.2713
0.285022,1.17764,2.10358,1.81672,12.8952,2.35102,1.98345,14.0344
0.0902717,0.957884,2.02961,5.20984,45.2902,1.0752,5.1426,45.2441
0.191946,0.776268,1.77888,5.34289,43.6999,2.38155,4.85405,43.6795
0.175875,0.911079,14.7712,1.26503,11.522,15.3682,1.37596,12.2012
0.303376,1.24383,14.5633,1.71767,12.1703,14.1161,1.45727,11.0392
0.332852,0.809241,13.6895,3.61277,7.05865,14.2146,2.99828,7.0191
0.349323,0.719353,10.0899,4.17412,7.02825,10.1314,3.46032,7.10726
0.234178,1.01539,9.69872,3.52146,6.60235,9.94502,4.50652,6.60347
0.263461,0.851167,9.08108,1.85352,13.7774,9.26571,1.58978,12.9894
0.567508,1.45712,3.0797,2.0216,13.7939,3.30743,2.20036,15.222
0.439673,1.45391,2.36543,2.61701,12.9458,2.06342,1.994,11.6673
0.306514,0.955089,1.51305,4.10777,6.71229,1.55881,5.05191,6.84902
0.254289,1.75508,0.810796,5.56932,4.14173,1.0651,5.13943,5.82424
0.205427,0.944914,6.28251,2.6154,29.0013,6.65636,2.63852,29.8688
0.346,1.94401,21.8384,2.30443,10.0887,22.2533,2.02455,8.2102
0.262496,1.31988,21.0917,1.44086,11.4721,21.8519,1.50866,10.3953
0.212054,0.847346,21.1771,2.75618,6.57855,20.3579,2.96904,6.61872
