radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.0754789,0.550134,22.3641,0.129108,-2.43636,21.8333,0.180498,-2.30124
0.232182,0.733222,22.6837,-0.182373,-2.64373,22.7614,0.3703,-2.1682
0.101844,0.830722,289.163,1.98781,3.85586,289.992,2.01403,3.91362
0.104601,0.552405,265.218,10.472,-5.58656,264.673,10.4538,-5.67836
0.135674,0.58151,282.33,1.53378,-4.50281,282.905,1.57589,-4.42489
0.104619,0.577038,22.2566,9.14157,-2.25768,21.68,9.15614,-2.2762
0.13452,1.25007,288.662,2.07567,3.82962,287.452,2.00081,3.52413
0.13452,0.266806,288.186,2.04623,3.70948,287.928,2.03025,3.64428
0.100534,0.871859,280.882,1.53479,-4.64057,281.744,1.56501,-4.50879
0.100226,0.301622,22.4784,9.10062,-2.31213,22.2361,9.27434,-2.26609
0.101067,1.04257,20.2423,8.72007,5.13838,19.21,8.76404,5.27755
0.100376,0.539186,22.5564,9.17511,-2.33216,23.0897,9.10474,-2.36823
0.147836,0.791584,263.295,10.519,-5.64868,262.666,10.298,-6.07511
0.0598168,0.618243,21.0898,0.606427,5.08138,21.6992,0.566174,4.98477
0.0976457,0.584727,24.6924,0.106984,-2.67225,24.1129,0.109136,-2.59413
0.104453,3.00732,268.368,10.0742,2.72339,271.368,10.1051,2.92723
0.282954,0.951792,280.518,1.26707,-4.54076,279.638,1.30335,-4.90131
0.157292,0.858174,286.487,2.11638,3.69877,285.669,2.05711,3.44585
0.0724707,0.495273,23.2471,9.11381,-2.37957,23.7137,9.23644,-2.4913
0.265801,1.00844,261.406,10.3208,-5.66661,262.327,10.1639,-6.04746
0.0634473,0.56662,22.2616,0.586943,4.90156,22.8174,0.525432,4.81048
0.125253,0.530711,279.544,1.52431,-4.85019,279.066,1.50756,-4.62011
0.0984905,0.596286,25.209,0.100783,-2.62893,25.797,0.0484437,-2.71358
0.139957,1.09253,260.183,10.3404,-5.99461,261.275,10.3588,-5.95473
0.0820544,0.634868,24.1125,9.10571,-2.52358,24.7433,9.07481,-2.58814
0.0569867,0.590219,23.5873,0.550471,4.75662,23.0045,0.562711,4.84952
0.182969,0.477023,26.2759,0.0173379,-2.92144,25.8968,0.296593,-2.84496
0.0685493,1.28764,266.976,10.1474,2.78988,268.261,10.0981,2.72683
0.113249,1.18373,278.823,1.51228,-4.71269,277.651,1.49617,-4.8792
0.10276,1.92321,282.756,1.9522,3.22623,284.661,2.04628,3.47153
0.142408,0.741128,27.0878,0.0928843,-2.97436,26.3535,0.0968284,-2.87346
0.121983,0.80539,259.243,10.3813,-6.14266,259.97,10.4507,-5.80184
0.101404,0.333899,25.4207,9.26923,-2.56733,25.2431,9.00217,-2.66018
0.105811,0.704772,24.4431,0.543313,4.69106,23.7476,0.542727,4.80495
0.123825,0.442834,25.4373,9.15422,-2.57635,25.8685,9.0807,-2.64536
0.124179,1.3081,276.238,1.59253,-5.04137,277.539,1.60675,-4.90371
0.0929392,4.25006,272.389,1.49385,-5.27641,276.635,1.4751,-5.09011
0.071388,0.389706,26.266,9.09213,-2.71951,25.9163,9.23444,-2.6228
0.0775596,1.51378,23.262,8.72088,4.98762,24.7724,8.76124,4.89483
0.106864,0.63622,25.2184,0.563125,4.50739,24.6565,0.696538,4.7742
0.112757,0.432684,27.7402,0.177619,-2.95554,27.3123,0.182544,-2.89129
0.118352,1.06652,282.349,1.92687,3.24744,281.285,1.95557,3.19118
0.0778245,0.575621,274.408,1.55726,-5.13082,274.982,1.53621,-5.17226
0.0684629,1.87886,279.322,1.94485,3.02138,281.189,2.0409,3.21598
0.231596,0.488525,257.277,10.0658,-6.31322,257.229,10.2998,-5.88705
0.161512,0.55585,258.031,10.3045,-6.05683,257.497,10.2468,-6.19672
0.121454,0.636448,274.296,1.60728,-5.08703,273.675,1.55066,-5.21478
0.108822,0.336279,26.9678,9.17056,-2.73333,27.2986,9.15313,-2.79136
0.0762868,0.314433,28.9305,0.159439,-3.07472,28.6164,0.160741,-3.06148
0.093786,0.406623,256.417,10.4707,-6.18993,256.027,10.4328,-6.30083
0.0590332,0.258137,27.373,9.15618,-2.7791,27.612,9.09846,-2.85785
0.141937,1.08435,272.295,1.52067,-5.28554,273.377,1.52377,-5.21091
0.0898083,1.16816,278.976,1.94319,3.01107,277.813,1.92287,2.90279
0.110268,0.604158,255.172,10.3554,-6.33915,255.77,10.3858,-6.26123
0.160052,0.553509,28.2189,9.39958,-2.82416,27.7453,9.15811,-2.97829
0.244016,1.3093,270.994,1.28491,-5.46825,272.295,1.3088,-5.31778
0.158429,0.8899,276.711,1.87972,2.97638,277.595,1.7868,2.94449
0.101753,0.606401,254.202,10.3608,-6.41036,254.772,10.4463,-6.22168
0.0865241,0.511294,28.776,9.27357,-2.85525,28.3228,9.07911,-2.99048
0.111129,0.974987,270.971,1.41519,-5.40932,269.997,1.40705,-5.43782
0.396994,0.735076,276.535,1.94405,3.31779,276.067,1.51521,2.94806
0.0759606,0.481859,28.8862,9.20712,-2.93875,29.3657,9.18544,-2.98082
0.0738286,2.9987,25.2165,8.76939,4.92158,28.1941,8.73872,4.56833
0.161134,1.01962,253.975,10.4257,-6.30182,252.99,10.3142,-6.5376
0.114944,0.509076,29.3767,9.22734,-2.93005,29.8439,9.04161,-3.01013
0.0732817,0.630913,31.4808,0.21093,-3.24719,30.851,0.187,-3.21843
0.0890181,0.806568,27.9263,0.576419,4.39766,28.7314,0.606369,4.35895
0.20418,0.551486,31.4674,-0.0267881,-3.34393,31.8372,0.280325,-3.07359
